"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","timelineType","choice"
"null","null","0.26","5.00","20","loss","0","html-keyboard-response","0","5011","0.0-0.0-0.0","trial",""
"4084","81","2.65","10.00","3","loss","1","html-keyboard-response","3","10941","0.0-0.0-0.1","trial","delayed"
"1325","81","0.10","5.00","50","loss","1","html-keyboard-response","6","14108","0.0-0.0-0.2","trial","delayed"
"1287","80","1.79","10.00","5","loss","0","html-keyboard-response","9","17237","0.0-0.0-0.3","trial","delayed"
"854","81","-1.18","5.00","10","reward","1","html-keyboard-response","12","19932","0.0-0.0-0.4","trial","delayed"
"1238","80","16.18","10.00","1","reward","1","html-keyboard-response","15","23011","0.0-0.0-0.5","trial","immediate"
"1666","80","21.18","15.00","10","reward","1","html-keyboard-response","18","26518","0.0-0.0-0.6","trial","immediate"
"1279","80","0.05","1.00","20","loss","0","html-keyboard-response","21","29636","0.0-0.0-0.7","trial","delayed"
"1099","80","13.82","20.00","5","reward","0","html-keyboard-response","24","32574","0.0-0.0-0.8","trial","delayed"
"1611.999999999971","80","10.00","10.00","20","reward","1","html-keyboard-response","27","36025","0.0-0.0-0.9","trial","immediate"
"1643.9999999999854","81","0.51","10.00","20","loss","1","html-keyboard-response","30","39509","0.0-0.0-0.10","trial","delayed"
"1311","81","0.90","5.00","5","loss","1","html-keyboard-response","33","42660","0.0-0.0-0.11","trial","delayed"
"861.0000000000291","80","0.48","5.00","10","loss","0","html-keyboard-response","36","45360","0.0-0.0-0.12","trial","delayed"
"957.9999999999709","80","5.31","20.00","3","loss","0","html-keyboard-response","39","48157","0.0-0.0-0.13","trial","delayed"
"1156","81","0.25","5.00","20","loss","1","html-keyboard-response","42","51152","0.0-0.0-0.14","trial","delayed"
"1480.999999999971","80","5.30","20.00","3","loss","0","html-keyboard-response","45","54472","0.0-0.0-0.15","trial","delayed"
"931.0000000000291","81","2.67","15.00","5","loss","1","html-keyboard-response","48","57241","0.0-0.0-0.16","trial","delayed"
"1044.999999999971","80","0.49","5.00","10","loss","0","html-keyboard-response","51","60126","0.0-0.0-0.17","trial","delayed"
"882","81","4.00","15.00","3","loss","1","html-keyboard-response","54","62847","0.0-0.0-0.18","trial","delayed"
"930","80","7.18","1.00","5","reward","1","html-keyboard-response","57","65615","0.0-0.0-0.19","trial","immediate"
"2769.000000000029","80","1.00","1.00","10","reward","1","html-keyboard-response","60","70224","0.0-0.0-0.20","trial","immediate"
"2449","81","0.09","1.00","10","loss","1","html-keyboard-response","63","74515","0.0-0.0-0.21","trial","delayed"
"1694","81","1.96","20.00","10","loss","1","html-keyboard-response","66","78048","0.0-0.0-0.22","trial","delayed"
"1273","81","13.82","20.00","50","reward","1","html-keyboard-response","69","81161","0.0-0.0-0.23","trial","delayed"
"893","81","7.05","20.00","2","loss","1","html-keyboard-response","72","83893","0.0-0.0-0.24","trial","delayed"
"943","80","10.41","20.00","1","loss","0","html-keyboard-response","75","86674","0.0-0.0-0.25","trial","delayed"
"822","81","0.97","10.00","10","loss","1","html-keyboard-response","78","89336","0.0-0.0-0.26","trial","delayed"
"1328","81","20.00","20.00","1","reward","0","html-keyboard-response","81","92503","0.0-0.0-0.27","trial","immediate"
"1453","80","1.04","20.00","20","loss","0","html-keyboard-response","84","95796","0.0-0.0-0.28","trial","delayed"
"1125","81","7.80","15.00","1","loss","1","html-keyboard-response","87","98760","0.0-0.0-0.29","trial","delayed"
"1108.999999999971","80","2.59","5.00","1","loss","0","html-keyboard-response","90","101709","0.0-0.0-0.30","trial","delayed"
"2294","80","26.18","20.00","20","reward","1","html-keyboard-response","93","105842","0.0-0.0-0.31","trial","immediate"
"1832","80","0.35","1.00","2","loss","0","html-keyboard-response","96","109513","0.0-0.0-0.32","trial","delayed"
"1599","81","21.18","15.00","50","reward","0","html-keyboard-response","99","112952","0.0-0.0-0.33","trial","immediate"
"1788","81","7.82","15.00","1","loss","1","html-keyboard-response","102","116580","0.0-0.0-0.34","trial","delayed"
"1045","81","11.18","5.00","2","reward","0","html-keyboard-response","105","119465","0.0-0.0-0.35","trial","immediate"
"2177.000000000029","81","13.82","20.00","20","reward","1","html-keyboard-response","108","123481","0.0-0.0-0.36","trial","delayed"
"1419","80","2.60","5.00","1","loss","0","html-keyboard-response","111","126739","0.0-0.0-0.37","trial","delayed"
"1869","80","0.27","5.00","20","loss","0","html-keyboard-response","114","130448","0.0-0.0-0.38","trial","delayed"
"1192","81","26.18","20.00","1","reward","0","html-keyboard-response","117","133478","0.0-0.0-0.39","trial","immediate"
"1603","81","5.00","5.00","10","reward","0","html-keyboard-response","120","136920","0.0-0.0-0.40","trial","immediate"
"2475","80","1.32","5.00","3","loss","0","html-keyboard-response","123","141233","0.0-0.0-0.41","trial","delayed"
"1955","80","11.18","5.00","20","reward","1","html-keyboard-response","126","145028","0.0-0.0-0.42","trial","immediate"
"1490.000000000029","80","0.36","1.00","2","loss","0","html-keyboard-response","129","148357","0.0-0.0-0.43","trial","delayed"
"1141","81","0.22","10.00","50","loss","1","html-keyboard-response","132","151337","0.0-0.0-0.44","trial","delayed"
"1063","80","13.82","20.00","3","reward","0","html-keyboard-response","135","154239","0.0-0.0-0.45","trial","delayed"
"1823","80","5.00","5.00","50","reward","1","html-keyboard-response","138","157901","0.0-0.0-0.46","trial","immediate"
"1658.000000000029","81","0.11","5.00","50","loss","1","html-keyboard-response","141","161399","0.0-0.0-0.47","trial","delayed"
"1126.000000000029","81","8.82","15.00","5","reward","1","html-keyboard-response","144","164363","0.0-0.0-0.48","trial","delayed"
"1982","81","20.00","20.00","2","reward","0","html-keyboard-response","147","168184","0.0-0.0-0.49","trial","immediate"
"1097","81","3.98","15.00","3","loss","1","html-keyboard-response","150","171120","0.0-0.0-0.50","trial","delayed"
"1364","80","16.18","10.00","3","reward","1","html-keyboard-response","153","174324","0.0-0.0-0.51","trial","immediate"
"1240.0000000000582","81","5.32","20.00","3","loss","1","html-keyboard-response","156","177402","0.0-0.0-0.52","trial","delayed"
"1191","81","1.34","5.00","3","loss","1","html-keyboard-response","159","180433","0.0-0.0-0.53","trial","delayed"
"899","80","0.88","5.00","5","loss","0","html-keyboard-response","162","183171","0.0-0.0-0.54","trial","delayed"
"1232","80","11.18","5.00","5","reward","1","html-keyboard-response","165","186243","0.0-0.0-0.55","trial","immediate"
"1487","81","0.51","1.00","1","loss","1","html-keyboard-response","168","189570","0.0-0.0-0.56","trial","delayed"
"1026","80","7.18","1.00","3","reward","1","html-keyboard-response","171","192434","0.0-0.0-0.57","trial","immediate"
"1891","81","26.18","20.00","10","reward","0","html-keyboard-response","174","196163","0.0-0.0-0.58","trial","immediate"
"1521","81","0.02","1.00","50","loss","1","html-keyboard-response","177","199522","0.0-0.0-0.59","trial","delayed"
"1007","80","-1.18","5.00","50","reward","0","html-keyboard-response","180","202368","0.0-0.0-0.60","trial","delayed"
"952","81","0.42","20.00","50","loss","1","html-keyboard-response","183","205158","0.0-0.0-0.61","trial","delayed"
"1182","80","5.28","15.00","2","loss","0","html-keyboard-response","186","208177","0.0-0.0-0.62","trial","delayed"
"1597","81","16.18","10.00","5","reward","0","html-keyboard-response","189","211614","0.0-0.0-0.63","trial","immediate"
"1047","81","5.27","15.00","2","loss","1","html-keyboard-response","192","214501","0.0-0.0-0.64","trial","delayed"
"1470","80","8.82","15.00","1","reward","0","html-keyboard-response","195","217810","0.0-0.0-0.65","trial","delayed"
"1601","81","5.00","5.00","20","reward","0","html-keyboard-response","198","221250","0.0-0.0-0.66","trial","immediate"
"2229","81","-1.18","5.00","2","reward","1","html-keyboard-response","201","225318","0.0-0.0-0.67","trial","delayed"
"1331","81","0.77","15.00","20","loss","1","html-keyboard-response","204","228488","0.0-0.0-0.68","trial","delayed"
"829","81","3.58","20.00","5","loss","1","html-keyboard-response","207","231156","0.0-0.0-0.69","trial","delayed"
"2289","81","0.52","1.00","1","loss","1","html-keyboard-response","210","235284","0.0-0.0-0.70","trial","delayed"
"2180","80","10.00","10.00","5","reward","1","html-keyboard-response","213","239303","0.0-0.0-0.71","trial","immediate"
"894","81","16.18","10.00","50","reward","0","html-keyboard-response","216","242037","0.0-0.0-0.72","trial","immediate"
"743","81","1.47","15.00","10","loss","1","html-keyboard-response","219","244619","0.0-0.0-0.73","trial","delayed"
"1160","80","20.00","20.00","5","reward","1","html-keyboard-response","222","247618","0.0-0.0-0.74","trial","immediate"
"1158","81","16.18","10.00","2","reward","0","html-keyboard-response","225","250616","0.0-0.0-0.75","trial","immediate"
"1746.0000000000582","81","0.03","1.00","50","loss","1","html-keyboard-response","228","254201","0.0-0.0-0.76","trial","delayed"
"1292","80","21.18","15.00","2","reward","1","html-keyboard-response","231","257332","0.0-0.0-0.77","trial","immediate"
"1691","80","1.00","1.00","20","reward","1","html-keyboard-response","234","260861","0.0-0.0-0.78","trial","immediate"
"1201","80","8.82","15.00","50","reward","0","html-keyboard-response","237","263902","0.0-0.0-0.79","trial","delayed"
"2559","80","10.42","20.00","1","loss","0","html-keyboard-response","240","268301","0.0-0.0-0.80","trial","delayed"
"1106","80","1.00","1.00","2","reward","1","html-keyboard-response","243","271246","0.0-0.0-0.81","trial","immediate"
"1428","81","1.46","15.00","10","loss","1","html-keyboard-response","246","274513","0.0-0.0-0.82","trial","delayed"
"1067","81","-1.18","5.00","1","reward","1","html-keyboard-response","249","277420","0.0-0.0-0.83","trial","delayed"
"1044","80","21.18","15.00","5","reward","1","html-keyboard-response","252","280304","0.0-0.0-0.84","trial","immediate"
"952","80","8.82","15.00","3","reward","0","html-keyboard-response","255","283096","0.0-0.0-0.85","trial","delayed"
"672","81","26.18","20.00","50","reward","1","html-keyboard-response","258","285608","0.0-0.0-0.86","trial","delayed"
"1342","80","13.82","20.00","2","reward","0","html-keyboard-response","261","288789","0.0-0.0-0.87","trial","delayed"
"3062.000000000058","81","5.29","15.00","2","loss","1","html-keyboard-response","264","293690","0.0-0.0-0.88","trial","delayed"
"1270.9999999999418","81","1.00","1.00","1","reward","0","html-keyboard-response","267","296800","0.0-0.0-0.89","trial","immediate"
"982","80","0.53","10.00","20","loss","0","html-keyboard-response","270","299621","0.0-0.0-0.90","trial","delayed"
"1155","81","2.67","10.00","3","loss","1","html-keyboard-response","273","302614","0.0-0.0-0.91","trial","delayed"
"724.0000000000582","80","0.78","15.00","20","loss","0","html-keyboard-response","276","305178","0.0-0.0-0.92","trial","delayed"
"1056","80","2.66","10.00","3","loss","0","html-keyboard-response","279","308075","0.0-0.0-0.93","trial","delayed"
"1040","80","10.00","10.00","3","reward","1","html-keyboard-response","282","310953","0.0-0.0-0.94","trial","immediate"
"2155","80","10.00","10.00","2","reward","1","html-keyboard-response","285","314949","0.0-0.0-0.95","trial","immediate"
"995","80","5.00","5.00","2","reward","1","html-keyboard-response","288","317784","0.0-0.0-0.96","trial","immediate"
"893","81","3.52","10.00","2","loss","1","html-keyboard-response","291","320517","0.0-0.0-0.97","trial","delayed"
"851.9999999999418","80","1.77","5.00","2","loss","0","html-keyboard-response","294","323209","0.0-0.0-0.98","trial","delayed"
"1569","80","5.19","10.00","1","loss","0","html-keyboard-response","297","326618","0.0-0.0-0.99","trial","delayed"
"1288","80","0.12","5.00","50","loss","0","html-keyboard-response","300","329746","0.0-0.0-0.100","trial","delayed"
"1343.0000000000582","81","-5.18","1.00","5","reward","1","html-keyboard-response","303","332929","0.0-0.0-0.101","trial","delayed"
"2371","81","-5.18","1.00","2","reward","1","html-keyboard-response","306","337140","0.0-0.0-0.102","trial","delayed"
"1484","80","0.19","1.00","5","loss","0","html-keyboard-response","309","340463","0.0-0.0-0.103","trial","delayed"
"969.9999999999418","81","-5.18","1.00","3","reward","1","html-keyboard-response","312","343274","0.0-0.0-0.104","trial","delayed"
"1395","81","21.18","15.00","3","reward","0","html-keyboard-response","315","346510","0.0-0.0-0.105","trial","immediate"
"1135","81","0.11","1.00","10","loss","1","html-keyboard-response","318","349486","0.0-0.0-0.106","trial","delayed"
"1117","80","0.31","15.00","50","loss","0","html-keyboard-response","321","352442","0.0-0.0-0.107","trial","delayed"
"624","81","0.50","10.00","20","loss","1","html-keyboard-response","324","354907","0.0-0.0-0.108","trial","delayed"
"1141.0000000000582","80","20.00","20.00","10","reward","1","html-keyboard-response","327","357888","0.0-0.0-0.109","trial","immediate"
"998","80","7.18","1.00","1","reward","1","html-keyboard-response","330","360726","0.0-0.0-0.110","trial","immediate"
"1118.9999999999418","80","0.34","1.00","2","loss","0","html-keyboard-response","333","363685","0.0-0.0-0.111","trial","delayed"
"1097.9999999999418","81","0.33","15.00","50","loss","1","html-keyboard-response","336","366623","0.0-0.0-0.112","trial","delayed"
"998","81","3.82","10.00","2","reward","1","html-keyboard-response","339","369462","0.0-0.0-0.113","trial","delayed"
"1132","81","20.00","20.00","20","reward","0","html-keyboard-response","342","372435","0.0-0.0-0.114","trial","immediate"
"1083.9999999999418","80","2.69","15.00","5","loss","0","html-keyboard-response","345","375359","0.0-0.0-0.115","trial","delayed"
"1319.0000000000582","80","1.00","1.00","5","reward","1","html-keyboard-response","348","378518","0.0-0.0-0.116","trial","immediate"
